# 被剔除的模型（共 316 个）
# id	reason
54	missing_bin
111	missing_bin
253	missing_bin
256	missing_bin
350	missing_bin
443	missing_bin
523	missing_bin
820	missing_bin
1140	missing_bin
1243	missing_bin
1400	missing_bin
1424	missing_bin
1502	missing_bin
1589	missing_bin
1590	missing_bin
1609	bbox_extent_gt_100mm
1640	missing_bin
1694	missing_bin
1706	missing_bin
1998	missing_bin
2011	missing_bin
2182	missing_bin
2283	missing_bin
2509	missing_bin
2518	missing_bin
2583	missing_bin
2735	missing_bin
2782	missing_bin
2790	missing_bin
2853	missing_bin
2873	missing_bin
2891	missing_bin
2898	missing_bin
2923	missing_bin
3124	missing_bin
3143	missing_bin
3150	missing_bin
3185	missing_bin
3271	missing_bin
3331	missing_bin
3406	missing_bin
3653	missing_bin
3804	missing_bin
3930	missing_bin
4020	missing_bin
4093	missing_bin
4141	missing_bin
4175	missing_bin
4258	missing_bin
4294	missing_bin
4412	missing_bin
4644	missing_bin
4670	missing_bin
4956	bbox_extent_gt_100mm
4985	missing_bin
5001	missing_bin
5006	missing_bin
5082	bbox_extent_gt_100mm
5267	missing_bin
5345	missing_bin
5347	missing_bin
5425	missing_bin
5462	missing_bin
5475	missing_bin
5724	missing_bin
5969	missing_bin
6223	missing_bin
6398	bbox_extent_gt_100mm
6471	missing_bin
6518	missing_bin
6954	missing_bin
7017	missing_bin
7148	missing_bin
7170	missing_bin
7555	missing_bin
7956	missing_bin
8018	missing_bin
8137	missing_bin
8278	bbox_extent_gt_100mm
8490	missing_bin
8661	missing_bin
8719	missing_bin
8889	missing_bin
8898	missing_bin
9099	missing_bin
9137	missing_bin
9272	missing_bin
9313	missing_bin
9509	missing_bin
9518	missing_bin
9652	missing_bin
9656	missing_bin
9662	missing_bin
9671	missing_bin
9703	missing_bin
9707	bbox_extent_gt_100mm
9729	missing_bin
9813	missing_bin
9829	bbox_extent_gt_100mm
10034	missing_bin
10048	missing_bin
10119	missing_bin
10146	missing_bin
10173	missing_bin
10232	missing_bin
10343	missing_bin
10400	missing_bin
10443	missing_bin
10446	missing_bin
10592	missing_bin
10678	missing_bin
10941	missing_bin
11048	missing_bin
11444	missing_bin
11621	bbox_extent_gt_100mm
11662	missing_bin
11701	missing_bin
11716	missing_bin
11734	missing_bin
11777	missing_bin
11813	missing_bin
11914	missing_bin
11926	missing_bin
12029	missing_bin
12055	missing_bin
12185	missing_bin
12223	missing_bin
12270	missing_bin
12355	missing_bin
12365	missing_bin
12404	missing_bin
12468	missing_bin
12497	missing_bin
12562	missing_bin
12744	missing_bin
12811	missing_bin
13151	missing_bin
13183	missing_bin
13326	missing_bin
13365	missing_bin
13367	missing_bin
13582	missing_bin
13628	missing_bin
13830	missing_bin
13852	missing_bin
13869	missing_bin
13968	missing_bin
14075	missing_bin
14154	missing_bin
14190	missing_bin
14264	missing_bin
14287	missing_bin
14372	missing_bin
14444	missing_bin
14491	missing_bin
14751	missing_bin
14832	missing_bin
15028	missing_bin
15251	missing_bin
15349	missing_bin
15525	missing_bin
15679	missing_bin
15741	missing_bin
15791	missing_bin
15812	missing_bin
16058	missing_bin
16090	missing_bin
16118	missing_bin
16175	missing_bin
16234	missing_bin
16338	missing_bin
16505	missing_bin
16585	missing_bin
16712	missing_bin
16734	missing_bin
16775	missing_bin
16930	missing_bin
17038	missing_bin
17110	missing_bin
17144	missing_bin
17231	missing_bin
17318	missing_bin
17489	missing_bin
17665	missing_bin
17839	missing_bin
17891	missing_bin
17954	missing_bin
18085	missing_bin
18092	missing_bin
18201	missing_bin
18340	missing_bin
18369	bbox_extent_gt_100mm
18784	missing_bin
18842	missing_bin
19000	missing_bin
19006	missing_bin
19029	missing_bin
19116	missing_bin
19139	bbox_extent_gt_100mm
19183	missing_bin
19245	missing_bin
19738	missing_bin
19747	missing_bin
19785	missing_bin
19841	missing_bin
19861	missing_bin
19902	missing_bin
19913	missing_bin
19980	missing_bin
20022	missing_bin
20137	missing_bin
20182	missing_bin
20279	missing_bin
20286	missing_bin
20365	missing_bin
20717	missing_bin
20745	missing_bin
20765	missing_bin
20888	missing_bin
20905	bbox_extent_gt_100mm
21010	missing_bin
21029	missing_bin
21391	missing_bin
21456	missing_bin
21686	missing_bin
21714	missing_bin
21731	missing_bin
21890	missing_bin
21905	missing_bin
22079	missing_bin
22676	missing_bin
22783	missing_bin
22858	missing_bin
23061	missing_bin
23133	missing_bin
23202	missing_bin
23357	missing_bin
23386	bbox_extent_gt_100mm
23416	missing_bin
23724	missing_bin
23904	missing_bin
24016	bbox_extent_gt_100mm
